ID,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Days_Member,Marital_Single,Marital_Together,Marital_Divorced,Marital_Married,Marital_YOLO,Marital_Widow,Marital_Alone,Marital_Absurd,MntRegProducts,MntAllProducts,TotalAcceptedCmp,Edu_Graduation,Edu_PhD,Edu_Master,Edu_2n_Cycle,Edu_Basic
5524,Graduation,Single,58138,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,66,3807,1,0,0,0,0,0,0,0,1529,1617,0,1,0,0,0,0
2174,Graduation,Single,46344,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,69,3257,1,0,0,0,0,0,0,0,21,27,0,1,0,0,0,0
4141,Graduation,Together,71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,58,3456,0,1,0,0,0,0,0,0,734,776,0,1,0,0,0,0
6182,Graduation,Together,26646,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,39,3283,0,1,0,0,0,0,0,0,48,53,0,1,0,0,0,0
5324,PhD,Married,58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,42,3305,0,0,0,1,0,0,0,0,407,422,0,0,1,0,0,0
7446,Master,Together,62513,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,56,3437,0,1,0,0,0,0,0,0,702,716,0,0,0,1,0,0
965,Graduation,Divorced,55635,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,52,3737,0,0,1,0,0,0,0,0,563,590,0,1,0,0,0,0
6177,PhD,Married,33454,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,38,3561,0,0,0,1,0,0,0,0,146,169,0,0,1,0,0,0
4855,PhD,Together,30351,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,49,3532,0,1,0,0,0,0,0,0,44,46,0,0,1,0,0,0
5899,PhD,Together,5648,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,73,3252,0,1,0,0,0,0,0,0,36,49,1,0,1,0,0,0
387,Basic,Married,7500,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,47,3737,0,0,0,1,0,0,0,0,45,61,0,0,0,0,0,1
2125,Graduation,Divorced,63033,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,64,3370,0,0,1,0,0,0,0,0,1072,1102,0,1,0,0,0,0
8180,Master,Divorced,59354,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,71,3370,0,0,1,0,0,0,0,0,296,310,0,0,0,1,0,0
2569,Graduation,Married,17323,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,36,3771,0,0,0,1,0,0,0,0,41,46,0,1,0,0,0,0
2114,PhD,Single,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,77,3726,1,0,0,0,0,0,0,0,1270,1315,2,0,1,0,0,0
9736,Graduation,Married,41850,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,43,3696,0,0,0,1,0,0,0,0,92,96,0,1,0,0,0,0
4939,Graduation,Together,37760,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,77,3811,0,1,0,0,0,0,0,0,289,317,0,1,0,0,0,0
6565,Master,Married,76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,74,3602,0,0,0,1,0,0,0,0,1606,1782,1,0,0,1,0,0
2278,2n Cycle,Single,33812,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,38,3747,1,0,0,0,0,0,0,0,94,133,0,0,0,0,1,0
9360,Graduation,Married,37040,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,41,3834,0,0,0,1,0,0,0,0,268,316,0,1,0,0,0,0
5376,Graduation,Married,2447,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,44,3683,0,0,0,1,0,0,0,0,1729,1730,0,1,0,0,0,0
1993,PhD,Married,58607,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,74,3697,0,0,0,1,0,0,0,0,953,972,1,0,1,0,0,0
4047,PhD,Married,65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,69,3313,0,0,0,1,0,0,0,0,539,544,0,0,1,0,0,0
